,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5
16,SI:CH211-195B11.4,1.148161037938039,KLHL22,1.3869715192512235,FA2H,1.2554224499322706,NHSL1B,1.095576482313064,CIARTA,0.8680175221915515,LAMC1,0.8904606866271179
17,RPS17,1.143931281256046,NRXN1B,1.3748230540784983,EVPLA,1.2543606757516554,PRICKLE1B,1.0494550502498674,CTH1,0.8650439275121049,NCOA7,0.884632893564257
18,HMGB2A,1.1294093390531759,PON1,1.3659400392425793,ZGC:193505,1.2500191333270583,APOC1,1.034156437691672,BCL2L10,0.8641115021937578,ZNF644B,0.8708644835067308
19,SI:DKEY-153M14.1,1.1272637800096084,CPE,1.3260284228641877,KLF17,1.2476738433778176,VED,1.0191034400923162,PGK1,0.8624349237176427,HSD17B2,0.8671578192628285
20,RPL21,1.1246357094719777,CABZ01001464.1,1.285152091284656,MGLL,1.246628395610544,HES6,1.0130519590073424,NEK2,0.8491244466010347,PDLIM5A,0.8615545748509128
21,MAGOH,1.1221390662860629,CYR61L2,1.2601547263262989,FTR82,1.2198897291429824,MSX3,1.0060323044341941,LPCAT4,0.8481680539203427,SI:DKEY-58J15.10,0.8607174375761732
22,HSPB1,1.1175744879311362,SETD2,1.239357637504971,CLDNB,1.215865045632704,HER1,1.0022019981048231,CA15B,0.8422627637544681,PARP6A,0.8583812672913932
23,RPL12,1.1173371621285706,SI:CH73-46J18.5,1.2254936912190926,SI:DKEYP-67A8.4,1.2062343579801766,SZL,0.9920743942610917,FHDC3,0.8395577951168686,KLHL22,0.8546438249844698
24,RPL28,1.1109811432834975,MLXIP,1.2215325812738467,CYT1L,1.1992823086007223,ARL4AB,0.9747218501093334,SI:DKEYP-114G9.1,0.8394014607961626,HIST2H3C,0.8491048765087754
25,RPL23A,1.1092822414713694,ZNF1057,1.2075298732179425,GRHL3,1.194860477542962,LEF1,0.9636764768638892,ACTL7A,0.8256441660009374,SYNGAP1A,0.8456236864119343
26,CDKN1BB,1.1063154216275521,SI:CH211-241E1.5,1.2072113060501959,FUT9B,1.1941338562123607,SP5L,0.9437065432247026,RAD18,0.8223448203796676,RNF213,0.8391085210684035
27,UCP2,1.101163468124171,CHD7,1.2040752778172663,ZGC:153911,1.173942614906009,WNT8A,0.9216238188491047,BX511215.1,0.8092515684036407,SI:DKEYP-115E12.6,0.8343006359661205
28,ELAVL1,1.1009830824815197,POLR2A,1.1993023400205023,HSD17B14,1.1653919834877804,VENT,0.9151836727631819,PATL2,0.8091926786243137,SI:DKEY-261M9.11,0.8329697697919146
29,SI:CH211-130H14.6,1.1003700053124266,PCNT,1.1829124847453754,PERP,1.1632760877511221,SI:DKEY-27I16.2,0.8924460504792598,BMI1B,0.7881390779130798,SI:DKEY-13M3.1,0.8209548733342871
