,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5
14,DUT,1.1585411326098412,GPRC5BB,1.587660861262512,CLDN23,1.2967427563827558,ATP1B3A,1.1324411909355792,MID1IP1L,0.8766615291727319,SI:DKEY-48G21.5,0.9063400000836104
15,ALDOB,1.1560222643104894,HUWE1,1.517447550468962,FTR83,1.2685477330395127,ZIC2A,1.1117427787468126,NANOS3,0.87188754103476,SI:CH211-178N15.1,0.8966610601440849
16,SI:CH211-195B11.4,1.1481610268732971,KLHL22,1.38697152183611,FA2H,1.2554224481390637,NHSL1B,1.0955764798715943,CIARTA,0.8680175189443456,LAMC1,0.8904606839982641
17,RPS17,1.1439312711160627,NRXN1B,1.374823056822935,EVPLA,1.2543606739068283,PRICKLE1B,1.049455047410319,CTH1,0.8650439246136329,NCOA7,0.8846328909074148
18,HMGB2A,1.1294093288643685,PON1,1.3659400420589578,ZGC:193505,1.25001913128943,APOC1,1.0341564353811026,BCL2L10,0.8641114989997805,ZNF644B,0.8708644809787456
19,SI:DKEY-153M14.1,1.1272637699131727,CPE,1.326028425259132,KLF17,1.2476738412232533,VED,1.0191034378835175,PGK1,0.8624349202526158,HSD17B2,0.8671578163834639
20,RPL21,1.1246356994102444,CABZ01001464.1,1.2851520935502356,MGLL,1.2466283936436913,HES6,1.0130519567875746,NEK2,0.8491244433665427,PDLIM5A,0.8615545723532809
21,MAGOH,1.1221390559919997,CYR61L2,1.2601547288223494,FTR82,1.2198897271586622,MSX3,1.0060323022419249,LPCAT4,0.8481680503363854,SI:DKEY-58J15.10,0.8607174350588551
22,HSPB1,1.117574477948609,SETD2,1.2393576400260564,CLDNB,1.2158650436845688,HER1,1.0022019960619588,CA15B,0.8422627586961453,PARP6A,0.8583812647307222
23,RPL12,1.1173371520359334,SI:CH73-46J18.5,1.2254936931736566,SI:DKEYP-67A8.4,1.206234356052077,SZL,0.9920743919854607,FHDC3,0.8395577902678258,KLHL22,0.8546438225051819
24,RPL28,1.1109811333993251,MLXIP,1.2215325837052786,CYT1L,1.199282306631516,ARL4AB,0.9747218478258753,SI:DKEYP-114G9.1,0.839401459758219,HIST2H3C,0.8491048742484116
25,RPL23A,1.1092822315286002,ZNF1057,1.2075298751275223,GRHL3,1.1948604758228711,LEF1,0.9636764747040528,ACTL7A,0.8256441604305028,SYNGAP1A,0.8456236829499753
26,CDKN1BB,1.1063154115959997,SI:CH211-241E1.5,1.2072113083109772,FUT9B,1.1941338541785453,SP5L,0.9437065411696715,RAD18,0.82234481794753,RNF213,0.8391085184649526
27,UCP2,1.101163457842655,CHD7,1.204075279878314,ZGC:153911,1.1739426128036268,WNT8A,0.9216238167931079,BX511215.1,0.8092515668904345,SI:DKEYP-115E12.6,0.8343006335225132
28,ELAVL1,1.1009830725121514,POLR2A,1.1993023423686984,HSD17B14,1.1653919816271845,VENT,0.9151836709072029,PATL2,0.8091926754626868,SI:DKEY-261M9.11,0.8329697675371599
29,SI:CH211-130H14.6,1.1003699946520473,PCNT,1.1829124874153674,PERP,1.1632760858906541,SI:DKEY-27I16.2,0.8924460486255044,BMI1B,0.7881390741613117,SI:DKEY-13M3.1,0.8209548714651714
